title,link,published,description
P&O owner to attend summit despite row over minister's comments,https://www.bbc.com/news/articles/ce81p528ejmo,"Sat, 12 Oct 2024 13:24:13 GMT",It had been feared they might pull out after Transport Secretary Louise Haigh criticised the ferry firm and urged consumers to boycott the company.
‘Not how I imagined winning would be’: Labour insiders on Starmer's topsy-turvy start,https://www.bbc.com/news/articles/cpv2xp40vpvo,"Sat, 12 Oct 2024 13:16:21 GMT","Insiders hail new workers' rights, planning laws and ""stability"" at the top - but Starmer has been dogged by controversy too."
"Israeli attack on northern Gaza hints at retired general's ""surrender or starve"" plan for war",https://www.bbc.com/news/articles/c1e82yy0wxno,"Sat, 12 Oct 2024 12:34:29 GMT",Giora Eiland tells Jeremy Bowen that Israel should tell Palestinians to leave northern Gaza before sealing it off as a way of pressuring Hamas.
Woman dies after going overboard from cruise ship,https://www.bbc.com/news/articles/c8j7v22d40eo,"Sat, 12 Oct 2024 15:02:05 GMT",A woman in her 20s has died after she went overboard from a cruise ship near the Channel Islands.
"Fifth peacekeeper wounded in southern Lebanon, UN says",https://www.bbc.com/news/articles/cwy92zjq508o,"Sat, 12 Oct 2024 14:58:07 GMT","The UN said a peacekeeper in the city of Naquora was injured on Friday amid ""military activity"" nearby."
Mikey Madison leads Oscars race for breakout role as New York stripper,https://www.bbc.com/news/articles/ckgndvkppneo,"Sat, 12 Oct 2024 09:16:49 GMT",Anora won the top prize at the Cannes Film Festival and its star Mikey Madison has been widely praised.
BBC weather presenter bursts into song live on air,https://www.bbc.com/news/videos/ckgnp7ek2v3o,"Sat, 12 Oct 2024 10:35:57 GMT",Calum MacColl sung the Gaelic song that won him a gold medal at the Royal National Mòd in 2021.
Former Great Britain athlete dies aged 28,https://www.bbc.com/news/articles/c8rd88zd0j0o,"Sat, 12 Oct 2024 09:51:56 GMT",The athlete's father Robin will run in his place in the Brighton Marathon raising funds for Mind.
Mystery of Russia's secret weapon downed in Ukraine,https://www.bbc.com/news/articles/c9qv3lnqy0vo,"Fri, 11 Oct 2024 23:00:06 GMT",Ukrainians watched intrigued as a Russian stealth combat drone was apparently shot down by a Russian jet.
How a woman murdered her parents and hid the secret for four years,https://www.bbc.com/news/articles/cx24g4pq51eo,"Sat, 12 Oct 2024 05:45:40 GMT","Movements at the McCullough family home were secretive, but neighbours could never have known why."
King says a republic is up to Australian  people,https://www.bbc.com/news/articles/cy4d22yl9kpo,"Sat, 12 Oct 2024 09:56:18 GMT","Ahead of a royal visit, King Charles says it is up to the Australian people to decide if they want to be a republic."
Under-25s fined for minor mistakes - how rail tickets are confusing passengers,https://www.bbc.com/news/articles/cvglzndx81ko,"Sat, 12 Oct 2024 01:16:14 GMT",Complex rules leave many customers feeling caught out and annoyed they aren't made clearer by rail companies.
Teen who died at hospital 'deserved so much more',https://www.bbc.com/articles/c78d1dnd3qno,"Sat, 12 Oct 2024 05:30:55 GMT","Chloe Longster's family say they want ""tangible change"" after their daughter's death from sepsis."
'He could be the next great' - meet the 14-year-old international keeper,https://www.bbc.com/sport/football/articles/cj317p0y2n2o,"Sat, 12 Oct 2024 06:24:37 GMT","""He could be the next great"" - meet the 14-year-old international goalkeeper hoping to one day make it in the Premier League."
Devastating setback for evacuated Gaza teen after surgery,https://www.bbc.com/news/articles/czxlrlkk8k8o,"Fri, 11 Oct 2024 23:13:52 GMT",The ongoing Israel-Hamas war broke out 12 days before the girl was to receive treatment in Jerusalem.
