title,link,published,description
"Black Voters Drift From Democrats, Imperiling Harris’s Bid, Poll Shows",https://www.nytimes.com/2024/10/12/us/politics/poll-black-voters-harris-trump.html,"Sat, 12 Oct 2024 15:07:40 +0000","Vice President Kamala Harris is on track to win a majority of Black voters, and has brought many back to her party since taking over for President Biden. Still, a significant gap in support persists."
"Trump Leads in Arizona as Harris Holds an Edge in Pennsylvania, New Polls Show",https://www.nytimes.com/2024/10/12/us/politics/times-siena-arizona-pennsylvania-polls.html,"Sat, 12 Oct 2024 09:04:06 +0000","The latest Times/Inquirer/Siena polls found Donald Trump with a six-point advantage in Arizona, and Kamala Harris with a four-point lead in Pennsylvania."
"A Mystery Repeats: Harris Up 4 in Pennsylvania, and Trump Up 6 in Arizona",https://www.nytimes.com/2024/10/12/upshot/harris-trump-polls-election.html,"Sat, 12 Oct 2024 11:45:55 +0000",Being uncertain about our earlier poll results but finding almost the same numbers the next time around.
"Harris Releases Medical Information From White House Doctor, Daring Trump",https://www.nytimes.com/2024/10/12/us/politics/harris-medical-records-trump.html,"Sat, 12 Oct 2024 14:47:23 +0000","Vice President Kamala Harris released a letter from her doctor saying that she is in “excellent health,” as her campaign tries to capitalize on the lack of health information shared by her rival."
A Retirement Community Prepared for a Hurricane. Tornadoes Came Instead.,https://www.nytimes.com/2024/10/11/us/hurricane-milton-tornado-florida-deaths.html,"Sat, 12 Oct 2024 01:43:00 +0000","Hurricane Milton’s death toll was highest far from the coast where it made landfall, in a retirement community where few were braced for destructive tornadoes."
Hurricanes Amplify Insurance Crisis in Riskiest Areas,https://www.nytimes.com/2024/10/12/business/insurance-hurricane-milton-helene.html,"Sat, 12 Oct 2024 09:03:56 +0000","After Helene and Milton, some small Florida companies risk bankruptcy. Larger ones will be in the hot seat with lawmakers and consumer groups."
Secret Documents Show Hamas Tried to Persuade Iran to Join Its Oct. 7 Attack,https://www.nytimes.com/2024/10/12/world/middleeast/hamas-israel-war.html,"Sat, 12 Oct 2024 14:00:19 +0000",The Times reviewed the minutes of 10 meetings among Hamas’s top leaders. The records show the militant group avoided several escalations since 2021 to falsely imply it had been deterred — while seeking Iranian support for a major attack.
"Israeli Strikes on Northern Gaza Kill at Least 20, Aid Workers Say",https://www.nytimes.com/2024/10/12/world/middleeast/israel-gaza-lebanon-attacks.html,"Sat, 12 Oct 2024 14:28:17 +0000","Israel’s military said it was “operating with great force” against Hamas and allied groups and issued new evacuation orders, as it also continued its campaign in Lebanon."
Is Israel’s Invasion of Lebanon Legal? Here’s What International Law Says.,https://www.nytimes.com/2024/10/12/world/middleeast/israel-lebanon-invasion-international-law.html,"Sat, 12 Oct 2024 04:01:33 +0000","Explaining the issues of sovereignty, self-defense and humanitarian safeguards."
China Vows to Unleash More Borrowing to Spur Economy and Strengthen Banks,https://www.nytimes.com/2024/10/11/business/china-economy-finance-minister.html,"Sat, 12 Oct 2024 04:56:46 +0000",The finance minister said Beijing would sell bonds to supplement spending and help banks but did not detail how much.
