title,link,published,description
P&O owner to attend UK investment summit despite minister’s criticism,https://www.theguardian.com/business/2024/oct/12/keir-starmer-rebukes-transport-secretary-po-ferries-rogue-operator,"Sat, 12 Oct 2024 12:29:11 GMT","<p>Keir Starmer rebuked transport secretary, Louise Haigh, for describing P&amp;O Ferries as a ‘rogue operator’</p><ul><li><a href=""https://www.theguardian.com/politics/2024/oct/12/the-inside-story-of-labours-first-100-days-in-power-keir-starmer"">Teething problems, or something worse? The inside story of Labour’s first 100 days in power</a></li></ul><p>DP World, the parent firm of P&amp;O Ferries, will attend the government’s international investment summit on Monday.</p><p>There were reports the company had pulled out of the summit, where it was expected to announce a £1bn investment in the UK, after the transport secretary, Louise Haigh, called for a boycott of P&amp;O.</p> <a href=""https://www.theguardian.com/business/2024/oct/12/keir-starmer-rebukes-transport-secretary-po-ferries-rogue-operator"">Continue reading...</a>"
Eton among elite private schools set to cash in on windfall from new VAT rules,https://www.theguardian.com/education/2024/oct/12/eton-among-elite-private-schools-set-to-cash-in-on-windfall-from-new-vat-rules,"Sat, 12 Oct 2024 13:34:33 GMT","<p>VAT-registered schools will be able to claim refunds for tax paid on capital projects over past 10 years</p><p>The UK’s biggest and richest ­private schools are in line for substantial financial windfalls as a consequence of the government’s plan to impose VAT on their fees, according to official new guidance issued by tax authorities.</p><p><a href=""https://www.gov.uk/guidance/charging-and-reclaiming-vat-on-goods-and-services-related-to-private-school-fees"">A document issued by HMRC on Thursday</a> made clear that, once registered for VAT, independent schools will be able to claim back the tax they have paid on capital projects such as buildings and land acquisition completed over the past 10 years.</p> <a href=""https://www.theguardian.com/education/2024/oct/12/eton-among-elite-private-schools-set-to-cash-in-on-windfall-from-new-vat-rules"">Continue reading...</a>"
Middle East live: UN says its peacekeepers refused Israeli request to leave positions in Lebanon,https://www.theguardian.com/world/live/2024/oct/12/israel-gaza-war-lebanon-hezbollah-hamas-middle-east-latest-news-updates,"Sat, 12 Oct 2024 15:12:44 GMT","<p>Spokesperson for UN Interim Force in Lebanon says ‘there was a unanimous decision to stay’</p><p>Images on the newswires show <strong>Palestinians</strong> fleeing areas in the northern <strong>Gaza Strip</strong> after a fresh <strong>Israeli</strong> evacuation order:</p><p>In a separate post on X to the one we reported on earlier (<a href=""https://www.theguardian.com/world/live/2024/oct/12/israel-gaza-war-lebanon-hezbollah-hamas-middle-east-latest-news-updates?page=with:block-670a34f38f081a18004e52e9#block-670a34f38f081a18004e52e9"">see 9.38am BST</a>), <strong>Israeli</strong> military spokesperson <strong>Avichay Adraee</strong> reiterated an earlier call for health workers and medical teams in southern <strong>Lebanon</strong> to avoid using ambulances, claiming they are being used by <strong>Hezbollah</strong> fighters.</p> <a href=""https://www.theguardian.com/world/live/2024/oct/12/israel-gaza-war-lebanon-hezbollah-hamas-middle-east-latest-news-updates"">Continue reading...</a>"
Calls for investigation of Uber Eats and Deliveroo after raid on Bristol caravan camp,https://www.theguardian.com/business/2024/oct/12/calls-for-investigation-of-uber-eats-and-deliveroo-after-raid-on-bristol-caravan-camp,"Sat, 12 Oct 2024 12:00:26 GMT","<p>Migrant workers accuse Home Office of targeting the victims of labour exploitation rather than companies profiting from them</p><p>Migrant workers living in a caravan encampment raided by immigration enforcement officers have accused the Home Office of targeting the victims of labour exploitation rather than companies profiting from the hidden economy.</p><p><a href=""https://www.theguardian.com/business/article/2024/aug/24/i-wouldnt-wish-this-on-anyone-the-food-delivery-riders-living-in-caravan-shantytowns-in-bristol"">The </a><em><a href=""https://www.theguardian.com/business/article/2024/aug/24/i-wouldnt-wish-this-on-anyone-the-food-delivery-riders-living-in-caravan-shantytowns-in-bristol"">Observer</a></em><a href=""https://www.theguardian.com/business/article/2024/aug/24/i-wouldnt-wish-this-on-anyone-the-food-delivery-riders-living-in-caravan-shantytowns-in-bristol""> reported in August</a> that about 30 mainly Brazilian delivery riders working for large companies such as Deliveroo and Uber Eats were living in dilapidated caravans in the centre of Bristol. Many claimed they were, in effect, earning below the minimum wage and could not afford to rent in the city.</p> <a href=""https://www.theguardian.com/business/2024/oct/12/calls-for-investigation-of-uber-eats-and-deliveroo-after-raid-on-bristol-caravan-camp"">Continue reading...</a>"
King Charles won’t stand in the way if ‘Australia wants to become a republic’,https://www.theguardian.com/uk-news/2024/oct/12/king-charles-wont-stand-in-way-if-australia-wants-to-become-republic,"Sat, 12 Oct 2024 11:16:34 GMT","<p>Charles said to be adopting ‘anti-confrontational approach’ to republican campaigners before visit </p><p>King Charles has said he will not stand in the way if Australia wishes to replace him as the country’s head of state, it has been reported.</p><p>Ahead of his visit later this month, the king is said to be adopting an “anti-confrontational approach” to Australian republican campaigners, the <a href=""https://www.dailymail.co.uk/news/article-13951303/Charles-says-wont-stop-Australia-axing-British-monarchy-King-tells-republican-campaigners-deep-love-country-wouldnt-block-moves-republic-ahead-historic-tour.html"">Daily Mail</a> reported.</p> <a href=""https://www.theguardian.com/uk-news/2024/oct/12/king-charles-wont-stand-in-way-if-australia-wants-to-become-republic"">Continue reading...</a>"
Woman dies after going overboard from cruise ship off Channel Islands,https://www.theguardian.com/uk-news/2024/oct/12/woman-dies-overboard-cruise-ship-channel-islands-msc-virtuosa,"Sat, 12 Oct 2024 14:33:52 GMT","<p>French navy helicopter winched woman from the sea, but she was later pronounced dead</p><p>A woman has died after going overboard from a passenger ship off the Channel Islands.</p><p>The French coastguard said it received a distress message saying a woman in her 20s had gone overboard north of Les Casquets rocks, west of Alderney, shortly after midnight on Saturday. The woman went overboard from the Maltese-flagged cruise ship MSC Virtuosa.</p> <a href=""https://www.theguardian.com/uk-news/2024/oct/12/woman-dies-overboard-cruise-ship-channel-islands-msc-virtuosa"">Continue reading...</a>"
Kamala Harris releases health report saying she is fit for presidency,https://www.theguardian.com/us-news/2024/oct/12/kamala-harris-to-release-health-report-saying-she-is-fit-for-presidency-aide,"Sat, 12 Oct 2024 13:31:19 GMT","<p>Release of vice-president’s medical history highlights questions around Trump’s physical and mental fitness</p><p><a href=""https://www.theguardian.com/us-news/kamala-harris"">Kamala Harris</a> on Saturday released<strong> </strong>a report on her health and medical history which found that “she possesses the physical and mental resiliency required to successfully execute the duties of the presidency” if voters elect her in November.</p><p>A senior aide to Harris, 59, said the vice-president’s advisers viewed the publication of the health report and medical history as an opportunity to call attention to questions about the Republican White House nominee <a href=""https://www.theguardian.com/us-news/donaldtrump"">Donald Trump</a>’s physical fitness and mental acuity. The 78-year-old Trump has also <a href=""https://www.nytimes.com/2024/10/03/health/trump-health-records.html"">not released</a> any information about his health, though he would be the oldest president elected if Americans give him a second term in the Oval Office.</p> <a href=""https://www.theguardian.com/us-news/2024/oct/12/kamala-harris-to-release-health-report-saying-she-is-fit-for-presidency-aide"">Continue reading...</a>"
"Stop pushing heat pumps or face major backlash, green energy magnate tells Labour",https://www.theguardian.com/environment/2024/oct/12/stop-pushing-heat-pumps-backlash-green-energy-magnate-labour-ulez,"Sat, 12 Oct 2024 13:22:20 GMT","<p>Party donor Dale Vince warns that urging homeowners to switch to clean-power technology risks political storm bigger than Ulez</p><p>The government risks a huge political backlash if it keeps pushing the public to install heat pumps to replace their boilers, one of Britain’s leading green entrepreneurs has warned.</p><p><a href=""https://www.theguardian.com/business/2022/nov/20/energy-boss-dale-vince-fracking-farage-and-going-green"">Dale Vince</a>, a major Labour donor and renewable energy advocate, called on Keir Starmer to rethink national programmes, <a href=""https://www.theguardian.com/environment/2021/oct/18/5000-grants-unveiled-to-support-home-heat-pump-installation"">championed by Boris Johnson</a>, pushing the technology. Vince argued that Whitehall should explore alternatives to the devices, which he said were expensive, caused serious disruption and could end up increasing energy bills for some people.</p> <a href=""https://www.theguardian.com/environment/2024/oct/12/stop-pushing-heat-pumps-backlash-green-energy-magnate-labour-ulez"">Continue reading...</a>"
Trump campaign worked with Musk’s X to keep leaked JD Vance file off platform,https://www.theguardian.com/us-news/2024/oct/12/x-twitter-jd-vance-leaked-file,"Sat, 12 Oct 2024 14:46:23 GMT","<p>Journalist who published vetting document on Republican running mate was kicked off site formerly known as Twitter</p><p><a href=""https://www.theguardian.com/us-news/donaldtrump"">Donald Trump</a>’s presidential campaign worked with X to prevent information about his running mate JD Vance from being posted on the social media platform, a move that resulted in the journalist who revealed the information being kicked off the site, according to reports.</p><p>The former president’s team contacted X, owned by the billionaire Trump backer Elon Musk, about a 271-page document compiled by his campaign to vet Vance that was linked to by Ken Klippenstein, an independent journalist, <a href=""https://www.nytimes.com/2024/10/11/us/politics/elon-musk-donald-trump-pennsylvania.html"">the New York Times has reported</a>.</p> <a href=""https://www.theguardian.com/us-news/2024/oct/12/x-twitter-jd-vance-leaked-file"">Continue reading...</a>"
Woman who did not get leaving card loses UK employment claim,https://www.theguardian.com/uk-news/2024/oct/12/woman-leaving-card-employment-claim-tribunal,"Sat, 12 Oct 2024 11:41:11 GMT","<p>Karen Conaghan brought 40 complaints to tribunal including for sexual harassment and victimisation</p><p>A woman who sued her former employer over not being given a leaving card lost her case when it was revealed it had been hidden from her after only three people signed it.</p><p>Karen Conaghan claimed that the “failure to acknowledge her existence” at IAG, the parent company of British Airways, was a breach of equality law.</p> <a href=""https://www.theguardian.com/uk-news/2024/oct/12/woman-leaving-card-employment-claim-tribunal"">Continue reading...</a>"
